Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
прекратили,~пре*крат+и+л/и,~ p r' i1 * k r a1 t' + i0 + l' / i4,~ p r' i1 * k r a1 t' + i0 + l' / i4,8,"cta0154,gta0154,kta0154,ota0154,sta0154,uta0154,ata0154,mta0154"
прекращать,~пре*кращ+а/ть,~ p r' i1 * k r a1 sc + a0 / t',~ p r' i1 * k r a1 sc + a0 / t,8,ctb0427
прекращая,~пре*кращ+а+я,~ p r' i1 * k r a1 sc + a0 + j a4,~ p r' * k r a1 sc + a0 + e4,8,atb0443
преодолевая,~пре~о*дол+ев+а+я,~ p r' i1 ~ a2 * d a2 l' + i1 v + a0 + j a4,~ p r' e1 ~ a2 * d y1 l' + i1 v + a0 + e4,3,ata0548
преодолеть,~пре~о*дол+е/ть,~ p r' i1 ~ a2 * d a1 l' + e0 / t',~ p r' e1 ~ a2 * d a1 l' + e0 / t',8,"gta0016,ota0016,sta0016,ata0016,mta0016"
препирательства,~пре*пир+а+тель+ств/а,~ p r' i1 * p' i1 r + a0 + t' i4 l' + s t v / a4,~ p r' i1 * p' i1 r + a0 + t' i4 l' + s t v / a4,1,cta1122
прервал,~пре*рв+а+л,~ p r' i1 * r v + a0 + l,~ p r' e1 * r v + a0 + l,3,"kta1089,ata1089"
прерывал,~пре*рыв+а+л,~ p r' i1 * r y1 v + a0 + l,~ p r' e1 * r e1 v + a0 + l,8,sta0194
пресекала,~пре*сек+а+л/а,~ p r' i1 * s' i1 k + a0 + l / a4,~ p r' i1 * s' i1 k + a0 + l / a4,8,"cta0210,kta0210,ota0210,uta0210,ata0210,mta0210"
претендовать,*претенд+ова/ть,* p r' i1 t' i1 n d + a1 v a0 / t',* p r' i1 t' e1 n d + a1 v a0 / t',9,"cta1031,cta1033,ata1032,ata1033"
преувеличенное,~пре~у*велич+енн/ое,~ p r' i1 ~ u1 * v' i1 l' i0 ch + i4 n / a4 j i4,~ p r' i1 ~ u1 * v' i1 l' i0 ch + i4 n / a4 e4,3,ata0988
преувеличивают,~пре~у*велич+ива/ют,~ p r' i1 ~ u1 * v' i1 l' i0 ch + i4 v a4 / j u4 t,~ p r' i1 ~ u1 * v' i1 l' i0 ch + i4 v u4 / u4 t,3,"ctb1802,atb1802"
преферансу,*преферанс/у,* p r' i1 f' i1 r a0 n s / u4,* p r' f e1 r a0 n s / u4,8,gta0331
прибежал,~при*беж+а+л,~ p r' i1 * b' i1 zh + a0 + l,~ p r' i1 * b' i1 zh + a0 + l,3,"cta0761,kta0761,ata0761"
прибежим,~при*беж/им,~ p r' i1 * b' i1 zh / y0 m,~ p r' i1 * b' i1 zh / y0 m,3,"ctb1696,ktb1696,atb1696"
прибывали,~при*б+ыва+л/и,~ p r' i1 * b y1 v a0 + l' / i4,~ p r i1 * b u1 v a0 + l' / i4,8,utb0330
привез,~при*вез,~ p r' i1 * v' o0 s,~ p r' i1 * v' o0 s,9,"cta0745,cta0857,kta0745,kta0857,ata0745,ata0857"
привет,~при*вет,~ p r' i1 * v' e0 t,~ p r y1 * v' e0 t,33,utc0154
приветлив,~при*вет+лив,~ p r' i1 * v' e0 t + l' i4 f,~ p r' i1 * v' e0 t + i4 f,8,mta0434
приветливый,~при*вет+лив/ый,~ p r' i1 * v' e0 t + l' i4 v / y4 j,~ p r' i1 * v' e0 t + l' e4 v / y4,8,gta0433
приветственно,~при*вет+ств+енн+о,~ p r' i1 * v' e0 + c t v' + i4 n - + a4,~ p r' i1 * v' e0 + c t + i4 n + a4,7,mta0251
привык,~при*вык,~ p r' i1 * v y0 k,~ p r' i1 * v y0 k,25,"cta0019,cta0020,ctb1077,ctb2138,gta0020,ktb1077,ktb2138,kta0019,kta0020,ota0019,ota0020,sta0019,sta0020,uta0019,uta0020,ata0019,ata0020,atb1077,atb2138,mta0019,mta0020"
привыкли,~при*вык+л/и,~ p r' i1 * v y0 k + l' / i4,~ p r' * v y0 k + l' / i4,14,mta0020
привыкнуть,~при*вык+ну/ть,~ p r' i1 * v y0 k + n u4 / t',~ p r' i1 * v y0 k + n / t',8,mtb0091
привычка,~при*выч+к/а,~ p r' i1 * v y0 ch + k / a4,~ p r' i1 * v y0 ch + k / a4,41,"ctb0089,ctb0092,ctb0427,ctb1877,ctb1884,gtb0092,gtb0427,ktb0089,ktb0092,ktb0249,ktb0427,otb0089,otb0092,otb0427,stb0249,stb0427,utb0427,atb1877,atb1884,mtb0427"
привычке,~при*выч+к/е,~ p r' i1 * v y0 ch + k' / i4,~ p r' i1 * v y0 ch + k' / i4,3,"ctb1753,ktb1753,atb1753"
привычку,~при*выч+к/у,~ p r' i1 * v y0 ch + k / u4,~ p r' i1 * v y0 ch + k / u4,8,"ctb0364,gtb0364,ktb0364,otb0364,stb0364,utb0364,atb0364,mtb0364"
привычно,~при*выч+н+о,~ p r' i1 * v y0 ch + n + a4,~ p r' i1 * v y0 ch + n + a4,8,stb0319
привычного,~при*выч+н/ого,~ p r' i1 * v y0 ch + n / a4 v a4,~ p r' i1 * v y0 ch + n / a4 v e4,3,ata0638
привычным,~при*выч+н/ым,~ p r' i1 * v y0 ch + n / y4 m,~ p r' i1 * v y0 ch + n / y4 m,8,"cta0174,kta0174,ota0174,sta0174,uta0174,ata0174"
пригласил,~при*глас+и+л,~ p r' i1 * g l a1 s' + i0 + l,~ p r' i1 * g l a1 s' + i0 + l,26,"cta0743,ctb0182,ctb1161,ctb1168,ctb1220,ctb1277,ctb1303,gtb0182,kta0743,ktb1161,ktb1168,ktb1220,ktb1277,ktb1303,ktb0182,otb0182,stb0182,utb0182,atb0182,ata0743,atb1161,atb1168,atb1220,atb1277,atb1303"
пригласит,~при*глас/ит,~ p r' i1 * g l a1 s' / i0 t,~ p r' i1 * g l a1 s' / i0 t,3,"cta1035,ata1035"
пригласить,~при*глас+и/ть,~ p r' i1 * g l a1 s' + i0 / t',~ p r i1 * g l a1 s' + i0 / t',9,ctc0681
приглашаемыми,~при*глаш+а+ем/ыми,~ p r' i1 * g l a1 sh + a0 + j i4 m / y4 m' i4,~ p r i1 * g l a1 sh + a0 + e4 m / y4 m' i4,3,kta0854
приглашала,~при*глаш+а+л/а,~ p r' i1 * g l a1 sh + a0 + l / a4,~ b r' * g l a1 sh + a0 + l / a4,14,mtb0217
приглашали,~при*глаш+а+л/и,~ p r' i1 * g l a1 sh + a0 + l' / i4,~ p r' * g l a1 sh + a0 + /,8,stb0368
приглашать,~при*глаш+а/ть,~ p r' i1 * g l a1 sh + a0 / t',~ p r' i1 * g l a1 sh + a0 / t',3,"cta1049,kta1049,ata1049"
приглашают,~при*глаш+а/ют,~ p r' i1 * g l a1 sh + a0 / j u4 t,~ p r y1 * g l a1 sh + e0 / e4 t,11,gta0258
приглашение,~при*глаш+ени/е,~ p r' i1 * g l a1 sh + e0 n' i4 - / i4,~ p r' i1 * g l a1 sh + e0 n' i4 / e4,11,mta0119
приглашением,~при*глаш+ени/ем,~ p r' i1 * g l a1 sh + e0 n' i4 j / i4 m,~ p r' i1 * g l a1 sh + e0 n' e4 / e4 m,3,atb1495
приглядываться,~при*гляд+ыва/ть^ся,~ p r' i1 * g l' a0 d + y4 v a4 ^ c a4,~ p r' i1 * g l' a0 d + y4 v a4 ^ c a4,3,atb1360
приговаривать,~при*говар+ива/ть,~ p r' i1 * g a1 v a0 r' + i4 v a4 / t',~ p r i1 * g a1 v a0 r' + e4 v y4 / t',8,utb0393
пригодится,~при*год/ит^ся,~ p r' i1 * g a1 d' + i0 ^ c a4,~ p r' i1 * g a1 d' + i0 ^ c a4,3,"ctb1945,ktb1945,atb1945"
приготовить,~при*готов+и/ть,~ p r' i1 * g a1 t o0 v' + i4 / t',~ p r' * g a1 t o0 v' + i4 / t',8,sta0202
придавали,~при*дав+а+л/и,~ p r' i1 * d a1 v + a0 + l' / i4,~ p r' i1 * d a1 v + a0 + l' / i4,3,"cta0656,kta0656,ata0656"
придаёт,~при*да/ет,~ p r' i1 * d a1 / j o0 t,~ p r' * d a1 / j o0 t,3,ata0988
придают,~при*да/ют,~ p r' i1 * d a1 / j u0 t,~ p r' i1 * d a1 / j u0 t,3,atb1047
придвинулась,~при*дви+ну+л/а^сь,~ p r' i1 * d v' i0 + n u4 + l / a4 ^ s',~ p r' i1 * d v' i0 + n u4 + l / y4 ^ s',3,"cta0569,kta0569"
придерживая,~при*держ+ива+я,~ p r' i1 * d' e0 r zh + y4 v a4 + j a4,~ p r' i1 * d' e0 r zh + y4 v a4 + a4,8,mta0120
придет,~при*д/ет,~ p r' i1 * d' / o0 t,~ p r' i1 * d' / o0 t,6,"cta1149,ctc1078,gte0272,ktc1078,ste0272,utc1078"
придете,~при*д/ете,~ p r' i1 * d' / o0 t' i4,~ p r' i1 * d' / o0 t' e4,3,atb1165
придумаешь,~при*дум+а/ешь,~ p r' i1 * d u0 m + a4 / - i4 sh,~ p r' i1 * d u0 m + y4 / e4 sh,11,mta0482
придумал,~при*дум+а+л,~ p r' i1 * d u0 m + a4 + l,~ p r' i1 * d u0 m + a4 + l,5,"ctb1160,ctb1363,atb1160,atb1363"
придумывает,~при*дум+ыва/ет,~ p r' i1 * d u0 m + y4 v a4 / j i4 t,~ p r' i1 * d u0 m + o4 v y4 / i4 t,8,atb0040
приедет,~при*ед/ет,~ p r' i1 * j e0 d' / i4 t,~ p r' i1 * j e0 d' / e4 c,3,cta0998
приедут,~при*ед/ут,~ p r' i1 * j e0 d / u4 t,~ p r' i1 * j e0 d / u4 t,3,"cta1036,kta1036,ata1036"
приезде,~при*езд/е,~ p r' i1 * j e0 z' d' / i4,~ p r' i1 * j e0 z' d' / i4,3,"ctb2034,ktb2034,atb2034"
приезжал,~при*езж+а+л,~ p r' i1 * j i1 zh zh + a0 + l,~ p r' i1 * i1 zh + a0 + l,6,"ata0736,ata0920"
приезжать,~при*езж+а/ть,~ p r' i1 * j i1 zh zh + a0 / t',~ p r' i1 * i1 zh + a0 / t',3,kta1003
приёмник,~при*ем+ник,~ p r' i1 * j o0 m + n' i4 k,~ p r' * j o0 m + n' i4 k,8,mtb0331
приёмника,~при*ем+ник/а,~ p r' i1 * j o0 m + n' i4 k / a4,~ p r' i1 * j o0 m + n' i4 k / a4,8,"ctb0325,gtb0325,ktb0325,otb0325,stb0325,utb0325,atb0325,mtb0325"
приехавшие,~при*ех+а+вш/ие,~ p r' i1 * j e0 h + a4 + f sh / y4 j i4,~ p r' i1 * e0 h + y4 + f sh / y4 y4,5,atd0186
приехал,~при*ех+а+л,~ p r' i1 * j e0 h + a4 + l,~ p r' i1 * e0 h + y4 + l,7,cta1137
приехала,~при*ех+а+л/а,~ p r' i1 * j e0 h + a4 + l / a4,~ p r' i1 * j e0 h + e4 + l / a4,3,cta1044
приехали,~при*ех+а+л/и,~ p r' i1 * j e0 h + a4 + l' / i4,~ p r' i1 * j e0 h + a4 + l' / i4,5,otd0006
приехать,~при*ех+а/ть,~ p r' i1 * j e0 h + a4 / t',~ p r' i1 * j e0 h + a4 / t',3,ata0767
прижавшись,~при*ж+а+вш+и^сь,~ p r' i1 * zh + a0 + f sh + y4 ^ z',~ p r' i1 * zh + a0 + f sh + y4 ^ s',3,"ktb1563,atb1563"
прижал,~при*жа+л,~ p r' i1 * zh a0 + l,~ p r' i1 * zh a0 + l,3,"cta0527,kta0527,ata0527"
прижалась,~при*жа+л/а^сь,~ p r' i1 * zh a0 + l / a4 ^ s',~ p r' i1 * zh a0 + l / o4 ^ s',3,ata0582
прижался,~при*ж+а+л^ся,~ p r' i1 * zh + a0 + l ^ s' i4,~ p r' i1 * zh + a0 + l ^ s' o4,8,gtb0611
призадумался,~при~за*дум+а+л^ся,~ p r' i1 ~ z a1 * d u0 m + a4 + l ^ s' a4,~ p r' i1 ~ z a1 * d u0 m + a4 + l ^ s' a4,3,atb1386
призвание,~при*зв+а+ни/е,~ p r' i1 * z v + a0 + n' i4 j / i4,~ p r' i1 * z v + a0 + n' i4 / e4,3,"cta0757,kta0757,ata0757"
признавался,~при*зна+ва+л/^ся,~ p r' i1 * z n a1 + v a0 + l ^ s' a4,~ p r' i1 * z n a1 + v a0 + l ^ s y4,3,kta0876
признаётся,~при*зна/ет^ся,~ p r' i1 * z n a1 / j o0 ^ c a4,~ p r' i1 * z n a1 / j o0 ^ c y4,3,"ctb0811,ktb0811,atb0811"
признание,~при*зна+ни/е,~ p r' i1 * z n a0 + n' i4 - / i4,~ p r' e1 * z n a0 + n' e4 / e4,8,gta0137
призовите,~при*зов+ите,~ p r' i1 * z a1 v' + i0 t' i4,~ p r' i1 * s a1 v' + i0 t' i4,8,otb0405
призывала,~при*зыв+а+л/а,~ p r' i1 * z y1 v + a0 + l / a4,~ p r' i1 * z y1 v + a0 + l / a4,8,"kta0143,mta0143"
приказала,~при*каз+а+л/а,~ p r' i1 * k a1 z + a0 + l / a4,~ p r' i1 * k a1 z + a0 + l / a4,3,"ctb1616,atb1616"
прикатил,~при*кат+и+л,~ p r' i1 * k a1 t' + i0 + l,~ p r' i1 * k a1 t' + i0 + l,3,"cta1095,kta1095,ata1095"
прикладывает,~при*клад+ыва/ет,~ p r' i1 * k l a0 d + y4 v a4 / - i4 t,~ p r' i1 * k l a0 d + y4 v y4 / y4 t,10,mtb0342
прикосновениями,~при*кос+н+ов+ени/ями,~ p r' i1 * k a2 s + n + a1 v' + e0 n' i4 / - i4 m' i4,~ p r' i1 * k e1 s + n + a1 v' + e0 n' i4 / i4 m' i4,7,mta0143
прикрыв,~при*кры+в,~ p r' i1 * k r y0 + v,~ p r' i1 * k r y0 + v,3,"ctb1257,ktb1257,atb1257"
прилежный,~при*леж+н/ый,~ p r' i1 * l' e0 zh + n / y4 j,~ p r' i1 * l' e0 zh + n / y4,3,"cta0736,kta0736,ata0736"
прилива,~при*лив/а,~ p r' i1 * l' i0 v / a4,~ p r' i1 * l' i0 v / a4,7,"gta0440,ata0440"
приличия,~при*лич+и/я,~ p r' i1 * l' i0 ch + i4 j / a4,~ p r' i1 * l' i0 ch + e4 / e4,3,ctb1437
применявшуюся,~при*мен+я+вш/ую^ся,~ p r' i1 * m' i1 n' + a0 + f sh / u4 j u4 ^ s' a4,~ p r' i1 * m' i1 n' + a0 + f sh / u4 i4 ^ s' a4,8,uta0072
примерно,~при*мер+н+о,~ p r' i1 * m' e0 r + n + a4,~ p r' i1 * m' e0 r + n + a4,32,"cta0295,ctb0197,ctb1536,gta0295,gtb0197,gte0374,gte0386,gte0402,ktb0812,ktb1536,kta0295,ota0295,otb0197,sta0295,stb0197,ste0374,ste0386,uta0295,ata0295,atb0197,atd0127,atb0812,atb1536,mta0295,mtb0197"
примеру,~при*мер/у,~ p r' i1 * m' e0 r / u4,~ p r' i1 * m' e0 r / o4,14,gte0091
примирению,~при*мир+ени/ю,~ p r' i1 * m' i1 r' + e0 n' i4 j / u4,~ p r' i1 * m' i1 r' + e0 n' i4 / u4,8,"cta0119,gta0119,kta0119,ata0119,mta0119"
примириться,~при*мир+и/ть^ся,~ p r' i1 * m' i1 r' + i0 ^ c a4,~ p r' i1 * m' i1 r' + i0 ^ c a0,8,cta0108
принадлежала,~при~над*леж+а+л/а,~ p r' i1 ~ n a2 d * l' i1 zh + a0 + l / a4,~ p r ~ n * l' e1 zh + a0 + l / e4,7,gta0072
принадлежат,~при~над*леж/ат,~ p r' i1 ~ n a2 d * l' i1 zh / a0 d,~ p r' i1 ~ n a2 d * l' i1 zh / a0 d,3,ata0722
принадлежит,~при~над*леж/ит,~ p r' i1 ~ n a2 d * l' i1 zh / y0 t,~ p r i1 ~ n a2 d * l' i1 zh / y0 t,9,"ata0724,ata0725"
принадлежность,~при~над*леж+н+ость,~ p r' i1 ~ n a1 d * l' e0 zh + n + a4 s' t',~ p r' e1 ~ n a1 d * l' e0 sh + n + e4 s' t',3,ata0831
принадлежностью,~при~над*леж+н+ость/ю,~ p r' i1 ~ n a1 d * l' e0 zh + n + a4 s' t' / j u4,~ p r' i1 ~ n a1 d * l' e0 sh + n + e4 s' t' / j u4,3,ata0848
принес,~при*нес,~ p r' i1 * n' o0 s,~ p r y1 * n' o0 s,6,utc0208
принесет,~при*нес/ет,~ p r' i1 * n' i1 s' / o0 t,~ p r' * n' i1 s' / o0 t,13,mtb0512
принимает,~при*ним+а/ет,~ p r' i1 * n' i1 m + a0 / j i4 t,~ p r' i1 * n' i1 m + a0 / e4 t,5,"gte0233,kta0809,ste0233,ata0809"
принимала,~при*ним+а+л/а,~ p r' i1 * n' i1 m + a0 + l / a4,~ p r' e1 * n' e1 m + a0 + l / a4,8,gta0200
принимали,~при*ним+а+л/и,~ p r' i1 * n' i1 m + a0 + l' / i4,~ p r' * n' i1 m + a0 + l' /,8,stb0608
принимать,~при*ним+а/ть,~ p r' i1 * n' i1 m + a0 / t',~ p r' i1 * n' i1 m + a0 / t',3,"ctb1964,ktb1964,atb1964"
приносит,~при*нос/ит,~ p r' i1 * n o0 s' / i4 t,~ p r' i1 * n o0 s' /,9,utc0718
приносят,~при*нос/ят,~ p r' i1 * n o0 s' / i4 t,~ p r' i1 * n o0 s' / e4 t,8,"ctb0058,ktb0058,atb0058"
принял,~при*ня+л,~ p r' i0 * n' i4 + l,~ p r i0 * n' i4 + l,5,ste0164
принято,~при*нят+о,~ p r' i0 * n' i4 t + a4,~ p r' i0 * n' e4 t +,5,ste0109
принять,~при*ня/ть,~ p r' i1 * n' a0 / t',~ p r' i1 * n' a0 / t',13,"cta0802,kta0802,otd0154,atb0599,atd0154,ata0802"
приобщился,~при*общ+и+л^ся,~ p r' i1 * a1 p sc + i0 + l ^ s' a4,~ p r' i1 * a1 p sc + i0 + l ^ s e4,3,kta0644
припадком,~при*пад+к/ом,~ p r' i1 * p a0 t + k / a4 m,~ p r' i1 * p a0 t + k / y4 m,1,cta1122
присаживалась,~при*саж+ива+л/а^сь,~ p r' i1 * s a0 zh + y4 v a4 + l / a4 ^ s',~ b r' e1 * s a0 zh + y4 v y4 + l / y4 ^ s',8,sta0182
присела,~при*се+л/а,~ p r' i1 * s' e0 + l / a4,~ p r' i1 * s' e0 + l / a4,3,ctb1639
прислушались,~при*слуш+а+л/и^сь,~ p r' i1 * s l u0 sh + a4 + l' / i4 ^ s',~ p r' i1 * s l u0 sh + e4 + l' / y4 ^ s',8,mta0090
прислушивалась,~при*слуш+ива+л/а^сь,~ p r' i1 * s l u0 sh + y4 v a4 + l / a4 ^ s',~ p r' i1 * s l u0 sh + u4 v a4 + l / a4 ^ s',8,"cta0103,mta0103"
прислушивались,~при*слуш+ива+л/и^сь,~ p r' i1 * s l u0 sh + y4 v a4 + l' / i4 ^ s',~ p r' i1 * s l u0 sh + u4 v u4 + l' / i4 ^ s',8,gta0098
присматриваться,~при*сматр+ива/ть^ся,~ p r' i1 * s m a0 t r' + i4 v a4 ^ c a4,~ p r' i1 * s m a0 t r' + i4 v y4 ^ c a4,3,"ctb1360,ktb1360,atb1360"
присмотритесь,~при*смотр+ите^сь,~ p r' i1 * s m a1 t r' + i0 t' i4 ^ s',~ p r' i1 * s m a1 t r' + i0 t' i4 ^ s',3,"ctb0980,ktb0980,atb0980"
пристаёт,~при*ста/ет,~ p r' i1 * s t a1 / j o0 t,~ p r' i1 * s t a1 / i1 o0 c,3,cta0581
пристально,*пристальн+о,* p r' i0 s t a4 l' n + a4,* p r' i0 s t e4 l' n + a4,7,"stb0318,atb0318"
приступы,~при*ступ/ы,~ p r' i0 * s t u4 p / y4,~ p r' i0 * s t u4 p / e4,8,"cta0169,gta0169"
присутствии,~при*сут+ств/ии,~ p r' i1 * s u0 + c t v' / i4 i4,~ p r' i1 * s u0 + c t v' / i4 i4,8,"ctb1647,ctb1738,ktb1647,ktb1738,otd0233,atd0233,atb1647,atb1738"
притаясь,~при*та+я^сь,~ p r' i1 * t a1 + j a0 ^ s',~ p r' * t a1 + j a0 ^ s',8,gta0156
притихли,~при*тих+л/и,~ p r' i1 * t' i0 h + l' / i4,~ p r' i1 * t' i0 h + l' / i4,3,"ctb1427,ktb1427,atb1427"
притянул,~при*тя+ну+л,~ p r' i1 * t' i1 + n u0 + l,~ p r' i1 * t' i1 + n u0 + l,3,"ctb2057,atb2057"
прихватывали,~при*хват+ыва+л/и,~ p r' i1 * h v a0 t + y4 v a4 + l' / i4,~ p r' i1 * h v a0 t + y4 v y4 + l' / i4,3,"cta0501,kta0501"
приходил,~при*ход+и+л,~ p r' i1 * h a1 d' + i0 + l,~ p r' i1 * h a1 d' + i0 + l,9,"cta0819,cta1053,ctb1817,kta0819,kta1053,ktb1817,ata0819,ata1053,atb1817"
приходила,~при*ход+и+л/а,~ p r' i1 * h a1 d' + i0 + l / a4,~ p r' i1 * h a1 d' + i0 + l / a4,8,"cta0097,kta0097,ata0097,mta0097"
приходили,~при*ход+и+л/и,~ p r' i1 * h a1 d' + i0 + l' / i4,~ p r' i1 * h a1 d' + i0 + l' / i4,6,"ctb1687,ctb1782,ktb1687,ktb1782,atb1687,atb1782"
приходило,~при*ход+и+л/о,~ p r' i1 * h a1 d' + i0 + l / a4,~ p r' i1 * h a1 d' + i0 + l / a4,3,kta0651
приходилось,~при*ход+и+л/о^сь,~ p r' i1 * h a1 d' + i0 + l / a4 ^ s',~ p r' * h a1 d' + i0 + l / y4 ^ s',8,mtb0032
приходит,~при*ход/ит,~ p r' i1 * h o0 d' / i4 t,~ p r' i1 * h o0 d' / i4 d,10,"ota0149,sta0149"
приходите,~при*ход+ите,~ p r' i1 * h a1 d' + i0 t' i4,~ p r' i1 * h a1 d' + i0 t' e4,6,ctc1447
приходите,~при*ход+ите,~ p r' i1 * h o0 d' + i4 t' i4,~ p r' i1 * h o0 d' + i4 t' i4,6,"ctb1220,ktb1220,atb1220"
приходится,~при*ход/ит^ся,~ p r' i1 * h o0 d' / i4 ^ c a4,~ p r' i1 * h o0 d' / ^ c a4,7,atb1387
приходом,~при*ход/ом,~ p r' i1 * h o0 d / a4 m,~ p r' i1 * h o0 d / e4 m,3,ktb1755
приходят,~при*ход/ят,~ p r' i1 * h o0 d' / i4 t,~ p r' i1 * h o0 d' / e4 t,3,ata0782
причалом,~при*чал/ом,~ p r' i1 * ch a0 l / a4 m,~ p r' i1 * ch a0 l / a4 m,3,"cta0778,kta0778,ata0778"
причесанная,~при*чес+анн/ая,~ p r' i1 * ch o0 s + a4 n / a4 j a4,~ p r' i1 * ch o0 s + e4 n / a4 e4 e4,3,atb1283
причин,*причин,* p r' i1 ch i0 n,* p r' i1 ch i0 n,10,"cta0223,gta0223,gte0142,kta0223,ota0223,sta0223,ste0142,uta0223,ata0223,mta0223"
причина,~при*чин/а,~ p r' i1 * ch i0 n / a4,~ b r' i1 * ch i0 n / y4,22,utc0737
причинило,*причин+и+л/о,* p r' i1 ch i1 n' + i0 + l / a4,* p r' ch n' + i0 + l / y4,8,ota0291
причину,~при*чин/у,~ p r' i1 * ch i0 n / u4,~ p r' i1 * ch i0 n / u4,16,"ctb0071,ctb0078,gtb0071,gtb0078,ktb0071,ktb0078,otb0071,otb0078,stb0071,stb0078,utb0071,utb0078,atb0071,atb0078,mtb0071,mtb0078"
причины,*причин/ы,* p r' i1 ch i0 n / y4,* p r' i1 ch i0 n / y4,5,"cta0512,kta0512,otd0280,atd0280,ata0512"
пришел,~при*ш+е+л,~ p r' i1 * sh + o0 + l,~ p r * sh + o0 + l,40,gtb0799
пришлось,~при*ш+л/о^сь,~ p r' i1 * sh + l / o0 ^ s',~ p r' i1 * sh + l / o0 ^ s',33,"cta0770,cta0832,ctb0390,gtb0390,gte0081,kta0770,kta0832,ktb0390,otb0390,otd0086,otd0180,stb0390,ste0081,utb0390,atb0390,atd0086,atd0180,ata0770,ata0832,ata0842,mtb0390"
приятелей,*приятел/ей,* p r' i1 j a0 t' i4 l' / i4 j,* p r i1 j a0 t' e4 l' / e4 j,3,ctb1519
приятелем,*приятел/ем,* p r' i1 j a0 t' i4 l' / i4 m,* p r' i1 a0 t' l' / i4 m,25,mta0491
приятели,*приятел/и,* p r' i1 j a0 t' i4 l' / i4,* p r' i1 a0 t' l' / i4,28,mta0332
приятель,*приятель,* p r' i1 j a0 t' i4 l',* p r' i1 j a0 t' i4 l',6,"ctb1225,ctb1227,ktb1225,ktb1227,atb1225,atb1227"
приятельницы,*прия+тель+ниц/ы,* p r' i1 j a0 + t' i4 l' + n' i4 c / y4,* p r' i1 j a0 + t' i4 l' + n' i4 c / y4,3,"cta0810,kta0810"
приятеля,*прия+тел/я,* p r' i1 j a0 + t' i4 l' / a4,* p i1 j a0 + t' i4 l' / a4,22,cta0490
приятнее,*приятн+ее,* p r' i1 j a0 t' n' + i4 j i4,* p r' i1 j a0 t n + i4 e4,6,atb1441
приятно,*прият+н+о,* p r' i1 j a0 t + n + a4,* b r' i1 j a0 t + n + y4,75,utb0672
приятное,*приятн/ое,* p r' i1 j a0 t n / a4 - i4,* p r' i1 j a0 t /,16,utc1171
приятной,*приятн/ой,* p r' i1 j a0 t / n a4 j,* p r' i1 j a0 t / n y4 j,3,ctb2026
пробираясь,~про*бир+а+я^сь,~ p r a2 * b' i1 r + a0 + - i4 ^ s',~ p r e1 * b' i1 r + a0 + e4 ^ s',8,mta0270
проваливался,~про*вал+ива+л^ся,~ p r a1 * v a0 l' + i4 v a4 + l ^ s' a4,~ p r a1 * v a0 l' + i4 v y4 + l ^ s a4,3,ktb2040
провалилось,~про*вал+и+л/о^сь,~ p r a2 * v a1 l' + i0 + l / a4 ^ s',~ p r o1 * v a1 l' + i0 + l / y4 ^ s',3,cta0926
проведать,~про*вед+а/ть,~ p r a1 * v' e0 d + a4 / t',~ p r a1 * v' e0 d + y4 / t',3,"cta0854,kta0854,ata0854"
провел,~про*ве+л,~ p r a1 * v' o0 + l,~ p r a1 * v' o0 + l,11,"cta0094,ctc1470,gta0094,kta0094,ktc1470,ota0094,sta0094,uta0094,utc1470,ata0094,mta0094"
проверить,~про*вер+и/ть,~ p r a1 * v' e0 r' + i4 / t',~ p r a1 * v' e0 r' + i4 / t,8,"ctb0727,otb0727,utb0727,atb0727"
проверки,~про*вер+к/и,~ p r a1 * v' e0 r + k' / i4,~ p r a1 * v' e0 r + k' / i4,3,"ctb1240,ktb1240,atb1240"
провернуть,~про*вер+ну/ть,~ p r a2 * v' i1 r + n u0 / t',~ p r y1 * v' e1 r + n u0 / t',3,kta0906
проверять,~про*вер+я/ть,~ p r a2 * v' i1 r' + a0 / t',~ p r * v' i1 r' + a0 / t',16,stb0730
проверяя,~про*вер+я+я,~ p r a2 * v' i1 r' + a0 + j a4,~ p r a1 * v' e1 r' + a0 + e4,16,mta0098
провинциальные,*провинци+аль+н/ые,* p r a2 v' i1 n c y1 + a0 l' + n / y4 j i4,* p r y1 v' i1 n c a1 + a0 l' + n / y4 i4,3,ata0810
провис,~про*вис,~ p r a1 * v' i0 s,~ p r a1 * v' i0 s,7,"cta0072,gta0072,kta0072,sta0072,uta0072,ata0072,mta0072"
провода,~про*вод/а,~ p r o0 * v a4 d / a4,~ p r o0 * v a4 d / a4,3,ktc0035
